,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0,0.3638,0.4005,0.3721,0.3721,0.6365,0.0651,0.0523,0.0,0.0,0.0,0.587,0.6365,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65388000.0,6931000.0,0.0,0.0,58457000.0,0.0,58457000.0,0.59,0.59,97643743.0,0.73,0.0,0.0,0.0,65388000.0,65388000.0,58457000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265866000.0,27478000.0,0.0,0.0,238388000.0,0.0,238388000.0,2.49,2.49,97643743.0,2.57,0.0,0.0,0.0,265866000.0,265866000.0,238388000.0,15.713,15.72,0.745,0.0,0.0,0.0,0.0,0.0,1.2447,1.237,0.0,0.0,0.0,1534935000.0,1534935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.157,0.0,1.034,0.0,0.0,0.0,0.0,0.0,0.0,1.032,10.0,0.0,0.0,1520536250.0,1520003000.0,1520536250.0,2.524,0.0,0.0,0.0,0.0,0.0,0.0,AB,28.549999,28.53714305714286,2787728765.006257
2018-03-31,0.0,0.3228,0.3245,0.3043,0.3043,0.2454,0.0322,0.0344,0.0,0.0,0.0,0.2537,0.2454,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65698000.0,7538000.0,0.0,0.0,58160000.0,0.0,58160000.0,0.6,0.6,96461989.0,0.84,0.0,0.0,0.0,65698000.0,65698000.0,58160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248425000.0,26753000.0,0.0,0.0,221672000.0,0.0,221672000.0,2.33,2.33,96461989.0,2.3,0.0,0.0,0.0,248425000.0,248425000.0,221672000.0,16.18,16.181,0.83,0.0,0.0,0.0,0.0,0.0,1.3773,1.4,0.0,0.0,0.0,1560834000.0,1560834000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.148,0.0,0.9843,0.0,0.0,0.0,0.0,0.0,0.0,0.987,10.0,0.0,0.0,1497067000.0,1496554250.0,1497067000.0,2.262,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.85,26.62499991176471,2590004404.65
2017-12-31,0.0,0.0902,0.0816,0.0909,0.1053,0.1197,0.0027,0.0151,0.0,0.0,0.0,0.1333,0.1197,0.0,0.0,0.0,-0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85725000.0,7132000.0,0.0,0.0,78593000.0,0.0,78593000.0,0.84,0.84,93626313.0,0.51,0.0,0.0,0.0,85725000.0,85725000.0,78593000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232393000.0,24971000.0,0.0,0.0,207422000.0,0.0,207422000.0,2.19,2.19,93626313.0,2.13,0.0,0.0,0.0,232393000.0,232393000.0,207422000.0,16.486,16.499,0.509,0.0,0.0,0.0,0.0,0.0,0.6059,0.607,0.0,0.0,0.0,1544704000.0,1544704000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.9758,0.0,0.0,0.0,0.0,0.0,0.0,0.973,10.0,0.0,0.0,1484901250.0,1484341750.0,1484901250.0,2.162,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.049999,25.28484839393939,2345339047.023687
2017-09-30,0.0,-0.1228,-0.1409,-0.1154,-0.1154,0.1861,-0.0227,0.0091,0.0,0.0,0.0,0.225,0.1861,0.0,0.0,0.0,-0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49055000.0,5877000.0,0.0,0.0,43178000.0,0.0,43178000.0,0.46,0.46,93503142.0,0.49,0.0,0.0,0.0,49055000.0,49055000.0,43178000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225298000.0,23805000.0,0.0,0.0,201493000.0,0.0,201493000.0,2.12,2.11,93503142.0,2.07,0.0,0.0,0.0,225298000.0,225298000.0,201493000.0,15.416,15.418,0.492,0.0,0.0,0.0,0.0,0.0,1.0656,1.065,0.0,0.0,0.0,1441672000.0,1441672000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.136,0.0,0.9793,0.0,0.0,0.0,0.0,0.0,0.0,0.976,10.0,0.0,0.0,1483852250.0,1483426500.0,1483852250.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,AB,24.299999,23.76714297142858,2272126257.096858
2017-06-30,0.0,0.0737,0.0683,0.075,0.075,0.3786,-0.0513,-0.0327,0.0,0.0,0.0,0.15,0.3786,0.0,0.0,0.0,-0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47947000.0,6206000.0,0.0,0.0,41741000.0,0.0,41741000.0,0.43,0.43,96473204.0,0.46,0.0,0.0,0.0,47947000.0,47947000.0,41741000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232168000.0,23595000.0,0.0,0.0,208573000.0,0.0,208573000.0,2.18,2.17,96473204.0,1.98,0.0,0.0,0.0,232168000.0,232168000.0,208573000.0,14.932,14.937,0.461,0.0,0.0,0.0,0.0,0.0,1.0652,1.07,0.0,0.0,0.0,1441058000.0,1441058000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.9114,0.0,0.0,0.0,0.0,0.0,0.0,0.908,10.0,0.0,0.0,1492219000.0,1491760500.0,1492219000.0,1.971,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.65,22.466666555555552,2281591274.6
2017-03-31,0.0,-0.1747,-0.1957,-0.1636,-0.1636,0.1494,-0.0349,0.0026,0.0,0.0,0.0,0.34,0.1494,0.0,0.0,0.0,-0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49666000.0,5756000.0,0.0,0.0,43910000.0,0.0,43910000.0,0.46,0.46,96652190.0,0.67,0.0,0.0,0.0,49666000.0,49666000.0,43910000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228878000.0,22974000.0,0.0,0.0,205904000.0,0.0,205904000.0,2.15,2.14,96652190.0,1.92,0.0,0.0,0.0,228878000.0,228878000.0,205904000.0,15.642,15.645,0.665,0.0,0.0,0.0,0.0,0.0,1.4648,1.457,0.0,0.0,0.0,1512171000.0,1512171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.136,0.0,0.8639,0.0,0.0,0.0,0.0,0.0,0.0,0.893,10.0,0.0,0.0,1511681000.0,1511319500.0,1511681000.0,1.841,0.0,0.0,0.0,0.0,0.0,0.0,AB,22.85,22.98333352777778,2208502541.5
2016-12-31,0.0,0.3821,0.4224,0.4528,0.4615,-0.011,-0.0226,0.0077,0.0,0.0,0.0,0.0465,-0.011,0.0,0.0,0.0,-0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78630000.0,5966000.0,0.0,0.0,72664000.0,0.0,72664000.0,0.77,0.76,94816915.0,0.45,0.0,0.0,0.0,78630000.0,78630000.0,72664000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239389000.0,22803000.0,0.0,0.0,216586000.0,0.0,216586000.0,2.24,2.23,94816915.0,1.75,0.0,0.0,0.0,239389000.0,239389000.0,216586000.0,16.241,16.247,0.449,0.0,0.0,0.0,0.0,0.0,0.5853,0.584,0.0,0.0,0.0,1540508000.0,1540508000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,0.142,0.0,0.7827,0.0,0.0,0.0,0.0,0.0,0.0,0.781,9.0,0.0,0.0,1525350000.0,1523579000.0,1525350000.0,1.788,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.450001,23.15000005882353,2223456751.566915
2016-09-30,0.0,0.1558,0.1942,0.2381,0.2381,-0.1771,-0.0332,0.0085,0.0,0.0,0.0,-0.1667,-0.1771,0.0,0.0,0.0,-0.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55925000.0,5667000.0,0.0,0.0,50258000.0,0.0,50258000.0,0.52,0.52,96534649.0,0.4,0.0,0.0,0.0,55925000.0,55925000.0,50258000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217649000.0,22640000.0,0.0,0.0,195009000.0,0.0,195009000.0,2.0,1.99,96534649.0,1.73,0.0,0.0,0.0,217649000.0,217649000.0,195009000.0,15.277,15.281,0.402,0.0,0.0,0.0,0.0,0.0,0.7718,0.769,0.0,0.0,0.0,1475139000.0,1475139000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.127,0.0,0.8718,0.0,0.0,0.0,0.0,0.0,0.0,0.865,10.0,0.0,0.0,1534253000.0,1532568250.0,1534253000.0,1.761,0.0,0.0,0.0,0.0,0.0,0.0,AB,22.799999,22.174722277777782,2200989900.665351
2016-06-30,0.0,-0.1792,-0.1898,-0.1667,-0.1667,-0.1827,-0.0582,-0.0393,0.0,0.0,0.0,-0.1111,-0.1827,0.0,0.0,0.0,-0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44657000.0,5585000.0,0.0,0.0,39072000.0,0.0,39072000.0,0.4,0.4,98381192.0,0.4,0.0,0.0,0.0,44657000.0,44657000.0,39072000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210111000.0,23274000.0,0.0,0.0,186837000.0,0.0,186837000.0,1.9,1.89,98381192.0,1.81,0.0,0.0,0.0,210111000.0,210111000.0,186837000.0,15.437,15.439,0.328,0.0,0.0,0.0,0.0,0.0,0.8255,1.0,0.0,0.0,0.0,1518906000.0,1518906000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.121,0.0,0.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.953,11.0,0.0,0.0,1546929750.0,1545264500.0,1546929750.0,1.813,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.299999,23.00444441666667,2292281675.218808
2016-03-31,0.0,0.1659,0.1976,0.2222,0.2222,-0.1144,-0.0239,-0.0168,0.0,0.0,0.0,-0.1228,-0.1144,0.0,0.0,0.0,-0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60177000.0,5585000.0,0.0,0.0,54592000.0,0.0,54592000.0,0.55,0.55,100044485.0,0.5,0.0,0.0,0.0,60177000.0,60177000.0,54592000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219863000.0,23874000.0,0.0,0.0,195989000.0,0.0,195989000.0,1.98,1.97,100044485.0,1.86,0.0,0.0,0.0,219863000.0,219863000.0,195989000.0,15.602,15.662,0.559,0.0,0.0,0.0,0.0,0.0,1.0251,0.909,0.0,0.0,0.0,1566847000.0,1566847000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.9468,0.0,0.0,0.0,0.0,0.0,0.0,0.939,11.0,0.0,0.0,1570388000.0,1568613750.0,1570388000.0,1.855,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.43,20.829714514285712,2344042283.55
2015-12-31,0.0,-0.0707,-0.0765,-0.0536,-0.0877,-0.0056,-0.0318,-0.0378,0.0,0.0,0.0,-0.0444,-0.0056,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56890000.0,5803000.0,0.0,0.0,51087000.0,0.0,51087000.0,0.53,0.52,97772578.0,0.43,0.0,0.0,0.0,56890000.0,56890000.0,51087000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210084000.0,24320000.0,0.0,0.0,185764000.0,0.0,185764000.0,1.87,1.86,97772578.0,1.93,0.0,0.0,0.0,210084000.0,210084000.0,185764000.0,16.117,16.12,0.44,0.0,0.0,0.0,0.0,0.0,0.8417,0.811,0.0,0.0,0.0,1576120000.0,1576120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.0,1.0378,0.0,0.0,0.0,0.0,0.0,0.0,1.032,11.0,0.0,0.0,1579999500.0,1578109000.0,1579999500.0,1.972,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.85,24.282000114285708,2331875985.3
2015-09-30,0.0,-0.0299,-0.0464,-0.0667,-0.0667,0.0922,-0.0069,-0.0451,0.0,0.0,0.0,0.0667,0.0922,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48387000.0,6301000.0,0.0,0.0,42086000.0,0.0,42086000.0,0.42,0.42,100712572.0,0.48,0.0,0.0,0.0,48387000.0,48387000.0,42086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215629000.0,24413000.0,0.0,0.0,191216000.0,0.0,191216000.0,1.91,1.92,100712572.0,1.95,0.0,0.0,0.0,215629000.0,215629000.0,191216000.0,15.148,15.151,0.468,0.0,0.0,0.0,0.0,0.0,1.1201,1.143,0.0,0.0,0.0,1525846000.0,1525846000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,1.0095,0.0,0.0,0.0,0.0,0.0,0.0,1.021,12.0,0.0,0.0,1592942500.0,1591025000.0,1592942500.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.6,26.824722194444448,2678954415.2000003
2015-06-30,0.0,0.1226,0.1253,0.0909,0.0909,0.2711,0.0505,0.0075,0.0,0.0,0.0,0.1538,0.2711,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54409000.0,6185000.0,0.0,0.0,48224000.0,0.0,48224000.0,0.48,0.48,100324540.0,0.45,0.0,0.0,0.0,54409000.0,54409000.0,48224000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217118000.0,23854000.0,0.0,0.0,193264000.0,0.0,193264000.0,1.94,1.95,100324540.0,1.92,0.0,0.0,0.0,217118000.0,217118000.0,193264000.0,16.069,16.075,0.393,0.0,0.0,0.0,0.0,0.0,0.8183,0.938,0.0,0.0,0.0,1612739000.0,1612739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.121,0.0,0.9782,0.0,0.0,0.0,0.0,0.0,0.0,0.99,14.0,0.0,0.0,1595587000.0,1593599750.0,1595587000.0,1.884,0.0,0.0,0.0,0.0,0.0,0.0,AB,29.530001000000002,30.822222166666663,2962583766.5245404
2015-03-31,0.0,0.2476,0.2607,0.1842,0.1842,-0.0043,0.0543,0.0047,0.0,0.0,0.0,-0.05,-0.0043,0.0,0.0,0.0,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51616000.0,6031000.0,0.0,0.0,45585000.0,0.0,45585000.0,0.45,0.45,100756999.0,0.57,0.0,0.0,0.0,51616000.0,51616000.0,45585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211176000.0,23282000.0,0.0,0.0,187894000.0,0.0,187894000.0,1.9,1.91,100756999.0,1.86,0.0,0.0,0.0,211176000.0,211176000.0,187894000.0,15.869,15.932,0.627,0.0,0.0,0.0,0.0,0.0,1.3861,1.267,0.0,0.0,0.0,1605293000.0,1605293000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.119,0.0,0.9614,0.0,0.0,0.0,0.0,0.0,0.0,0.979,15.0,0.0,0.0,1576187750.0,1574287750.0,1576187750.0,1.793,0.0,0.0,0.0,0.0,0.0,0.0,AB,30.870001000000002,28.438889,3110368659.886999
2014-12-31,0.0,-0.0279,-0.0374,-0.0968,-0.0656,0.3295,0.0614,0.0061,0.0,0.0,0.0,0.125,0.3295,0.0,0.0,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61217000.0,5896000.0,0.0,0.0,55321000.0,0.0,55321000.0,0.56,0.57,97160178.0,0.45,0.0,0.0,0.0,61217000.0,61217000.0,55321000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200931000.0,22463000.0,0.0,0.0,178468000.0,0.0,178468000.0,1.84,1.84,97160178.0,1.89,0.0,0.0,0.0,200931000.0,200931000.0,178468000.0,16.751,16.755,0.445,0.0,0.0,0.0,0.0,0.0,0.7817,0.804,0.0,0.0,0.0,1627892000.0,1627892000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.0,1.0137,0.0,0.0,0.0,0.0,0.0,0.0,1.027,12.0,0.0,0.0,1555522250.0,1553728500.0,1555522250.0,1.862,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.83,25.809714257142865,2509647397.74
2014-09-30,0.0,0.4455,0.4949,0.4063,0.4063,0.0664,0.0779,0.1834,0.0,0.0,0.0,0.0976,0.0664,0.0,0.0,0.0,-0.0863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49876000.0,5742000.0,0.0,0.0,44134000.0,0.0,44134000.0,0.45,0.45,96811627.0,0.45,0.0,0.0,0.0,49876000.0,49876000.0,44134000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202685000.0,22066000.0,0.0,0.0,180619000.0,0.0,180619000.0,1.89,1.88,96811627.0,1.84,0.0,0.0,0.0,202685000.0,202685000.0,180619000.0,15.864,15.87,0.446,0.0,0.0,0.0,0.0,0.0,0.978,1.0,0.0,0.0,0.0,1536424000.0,1536424000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.0,0.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.974,12.0,0.0,0.0,1531962750.0,1530070500.0,1531962750.0,1.758,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.01,26.791388972222222,2518070418.27
2014-06-30,0.0,0.0666,0.064,0.1,0.1,-0.2292,-0.0508,0.0411,0.0,0.0,0.0,0.0263,-0.2292,0.0,0.0,0.0,-0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48467000.0,5613000.0,0.0,0.0,42854000.0,0.0,42854000.0,0.44,0.44,96237982.0,0.39,0.0,0.0,0.0,48467000.0,48467000.0,42854000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187313000.0,21305000.0,0.0,0.0,166008000.0,0.0,166008000.0,1.76,1.75,96237982.0,1.8,0.0,0.0,0.0,187313000.0,187313000.0,166008000.0,15.949,15.952,0.323,0.0,0.0,0.0,0.0,0.0,0.7244,0.886,0.0,0.0,0.0,1535142000.0,1535142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.11,0.0,1.009,0.0,0.0,0.0,0.0,0.0,0.0,1.023,13.0,0.0,0.0,1504192750.0,1501169500.0,1504192750.0,1.741,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.879998999999998,24.763714228571423,2490638877.9220176
2014-03-31,0.0,-0.0378,-0.0542,0.0,0.0,0.5043,-0.0583,0.0329,0.0,0.0,0.0,0.5,0.5043,0.0,0.0,0.0,-0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41371000.0,5212000.0,0.0,0.0,36159000.0,0.0,36159000.0,0.38,0.38,96028494.0,0.6,0.0,0.0,0.0,41371000.0,41371000.0,36159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184286000.0,20856000.0,0.0,0.0,163430000.0,0.0,163430000.0,1.72,1.71,96028494.0,1.79,0.0,0.0,0.0,184286000.0,184286000.0,163430000.0,15.794,15.856,0.661,0.0,0.0,0.0,0.0,0.0,1.755,1.579,0.0,0.0,0.0,1522631000.0,1522631000.0,0.0,4079000.0,0.0,0.0,0.0,0.0,0.0,0.107,0.107,0.0,1.0814,0.0,0.0,0.0,0.0,0.0,0.0,1.041,13.0,0.0,0.0,1524735750.0,1521728000.0,1524735750.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,AB,24.969998999999998,24.383999914285713,2397831399.151506
