,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.0231,0.8609,5.8966,6.5714,6.5,0.4886,-0.1001,-0.1164,0.0725,0.0903,0.2623,0.0,0.6517,0.0,0.0493,-0.0059,-0.0664,3466000000.0,0.0642,2184000000.0,1282000000.0,0.0,532000000.0,612000000.0,670000000.0,116000000.0,513000000.0,113000000.0,0.0,0.0,400000000.0,0.0,400000000.0,1.06,1.05,378988424.0,676300000.0,0.18,0.3699,0.198,0.1815,0.115,0.0848,685000000.0,629000000.0,400000000.0,14319000000.0,0.0846,8944000000.0,5375000000.0,0.0,2230000000.0,2902000000.0,2473000000.0,471000000.0,2036000000.0,574000000.0,0.0,-93000000.0,1462000000.0,0.0,1462000000.0,3.79,3.74,378988424.0,0.72,0.3754,0.191,0.1751,0.102,0.0568,2731000000.0,2507000000.0,1462000000.0,5.718,33.798,0.776,25.9902,0.6649,4.5455,0.4832,5.4224,1.598,0.815,0.17,0.3716,0.1535,0.0,2264000000.0,12809000000.0,-12170000000.0,18623000000.0,3448000000.0,131000000.0,4546000000.0,-0.0982,0.0136,14.0117,-0.0092,-0.5714,0.641,0.068,0.0924,0.175,5.0,0.668,0.6785,3.5177,91.6897,129.3138,4.1528,109.3053,3.1498,0.19,12.0,0.1557,0.0,19555500000.0,2280500000.0,21428250000.0,2.145,37.782,5.3227,0.4176,-0.1804,0.0129,-0.0125,-0.7991,CBS,56.220001,53.212571628571425,21306729576.268425
2018-03-31,0.0725,153.8,3.0278,3.1967,3.1639,-0.0028,-0.1056,-0.2646,0.0841,0.0983,0.293,0.0,-0.0072,0.0,0.0738,0.0794,-0.0655,3761000000.0,0.125,2400000000.0,1361000000.0,0.0,524000000.0,600000000.0,761000000.0,118000000.0,646000000.0,135000000.0,0.0,0.0,511000000.0,0.0,511000000.0,1.34,1.32,382719931.0,671500000.0,0.18,0.3619,0.218,0.2031,0.136,0.1827,820000000.0,764000000.0,511000000.0,14110000000.0,0.092,8764000000.0,5346000000.0,0.0,2205000000.0,2869000000.0,2477000000.0,466000000.0,1750000000.0,630000000.0,0.0,246000000.0,1120000000.0,0.0,1120000000.0,2.87,2.83,382719931.0,0.72,0.3789,0.173,0.1571,0.079,0.0494,2440000000.0,2216000000.0,1120000000.0,5.181,34.069,1.795,25.3606,0.3841,4.8946,0.4714,6.4746,1.522,1.4031,0.134,0.3668,0.1393,0.0,2122000000.0,13039000000.0,-12417000000.0,18529000000.0,3649000000.0,194000000.0,4296000000.0,-0.0418,0.0117,11.6573,-0.008,-0.5357,0.468,0.051,0.0932,0.157,5.0,0.642,0.7902,5.9497,98.8164,125.3313,3.8668,72.732,3.2845,0.251,13.0,0.1563,0.0,20129500000.0,2395500000.0,21995250000.0,1.821,36.868,4.7554,0.3313,-0.2124,0.013,-0.0133,-0.8393,CBS,51.389998999999996,52.87323523529412,19667976871.370068
2017-12-31,0.0312,1.3878,0.6372,0.5714,0.5714,-1.2639,-0.1401,-0.4242,0.0839,0.1156,0.2181,0.0,-1.5884,0.0,0.0627,-0.3069,-0.0687,3921000000.0,0.1146,2498000000.0,1423000000.0,0.0,627000000.0,1091000000.0,332000000.0,121000000.0,113000000.0,154000000.0,0.0,81000000.0,-41000000.0,0.0,-41000000.0,-0.09,-0.09,400178711.0,,0.18,0.3629,0.074,0.0597,-0.01,-0.0441,291000000.0,234000000.0,-41000000.0,13692000000.0,0.04,8438000000.0,5254000000.0,0.0,2212000000.0,2833000000.0,2421000000.0,457000000.0,990000000.0,633000000.0,0.0,952000000.0,357000000.0,0.0,357000000.0,0.89,0.88,400178711.0,0.72,0.3837,0.122,0.1057,0.026,0.0513,1670000000.0,1447000000.0,357000000.0,4.943,33.2,-0.432,25.3937,0.7122,5.1375,0.4875,1.9339,1.579,2.439,-2.0,0.3626,0.1599,0.0,2301000000.0,13286000000.0,-12592000000.0,19191000000.0,3505500000.0,189500000.0,4287500000.0,0.73,0.0128,33.9416,-0.0186,-1.2807,0.136,0.016,0.0875,0.106,5.0,0.606,2.4846,6.158,98.5543,125.5321,3.9059,72.2533,3.1935,0.809,23.0,0.1616,0.0,20714250000.0,2621000000.0,22603000000.0,1.754,34.215,3.1663,0.0997,-0.2086,0.0131,-0.0135,-0.8296,CBS,59.0,57.7127273939394,23610543949.0
2017-09-30,0.01,0.2105,0.2385,0.3704,0.3645,-0.1091,0.0019,-0.3803,0.0817,0.0747,0.2565,0.0,-0.6154,0.0,0.0499,-0.0153,-0.0966,3171000000.0,0.0282,1862000000.0,1309000000.0,0.0,547000000.0,599000000.0,710000000.0,116000000.0,764000000.0,172000000.0,0.0,-174000000.0,592000000.0,0.0,592000000.0,1.48,1.46,401653582.0,,0.18,0.4128,0.295,0.2775,0.187,0.0016,935000000.0,880000000.0,592000000.0,13289000000.0,0.0766,8078000000.0,5211000000.0,0.0,2132000000.0,2643000000.0,2568000000.0,443000000.0,868000000.0,583000000.0,0.0,1255000000.0,285000000.0,0.0,285000000.0,0.8,0.78,401653582.0,0.72,0.3921,0.115,0.0987,0.021,0.088,1534000000.0,1311000000.0,285000000.0,7.454,40.796,0.012,24.1228,0.3585,3.2361,0.4055,7.5862,1.553,0.0828,0.122,0.3142,0.1725,0.0,2242000000.0,16386000000.0,-14606000000.0,21879000000.0,3473000000.0,193000000.0,4170000000.0,-0.898,0.0139,10.2086,-0.0139,-0.8,0.093,0.012,0.079,0.099,6.0,0.567,4.793,6.3997,98.8238,127.5536,3.8264,68.8549,3.1868,0.9,25.0,0.1604,0.0,21369000000.0,3048750000.0,23451750000.0,2.91,33.086,2.9594,0.0826,-0.1442,0.0129,-0.0148,-0.8834,CBS,58.0,61.82857108571429,23295907756.0
2017-06-30,0.0287,-0.5144,-0.8629,-0.8511,-0.8495,-0.0179,-0.021,-0.4559,0.0922,0.0173,0.2205,0.2,-0.0532,0.0,-0.0059,0.0417,-0.1039,3257000000.0,0.0944,2004000000.0,1253000000.0,0.0,507000000.0,579000000.0,674000000.0,111000000.0,227000000.0,169000000.0,0.0,339000000.0,58000000.0,0.0,58000000.0,0.14,0.14,405956688.0,,0.18,0.3847,0.121,0.1038,0.018,0.0547,394000000.0,338000000.0,58000000.0,13202000000.0,0.0548,8004000000.0,5198000000.0,0.0,2106000000.0,2619000000.0,2579000000.0,431000000.0,727000000.0,556000000.0,0.0,1417000000.0,171000000.0,0.0,171000000.0,0.4,0.39,405956688.0,0.72,0.3937,0.105,0.0877,0.013,0.0892,1380000000.0,1158000000.0,171000000.0,6.471,37.282,0.438,22.6231,0.4188,3.496,0.4054,3.045,1.76,3.7759,1.286,0.3319,0.1557,0.0,2456000000.0,15135000000.0,-14340000000.0,20919000000.0,3271000000.0,122500000.0,3656000000.0,-0.1872,0.0138,22.8782,-0.0126,-0.7321,0.047,0.007,0.0825,0.088,7.0,0.563,8.0234,3.4283,91.2085,111.1146,4.0361,107.7714,3.6111,1.8,30.0,0.1595,0.0,20273750000.0,3637250000.0,23440250000.0,2.899,32.521,2.6868,0.0466,-0.1421,0.0128,-0.0148,-0.8784,CBS,63.779999,61.92999994444444,25891917154.68331
2017-03-31,-0.0357,-1.0064,-1.5328,-1.5922,-1.598,-0.3006,-0.0204,-0.4095,0.0853,-0.0544,0.317,0.2,-0.3038,0.0,-0.0298,-0.0748,-0.1088,3343000000.0,-0.0683,2074000000.0,1269000000.0,0.0,488000000.0,564000000.0,705000000.0,109000000.0,-114000000.0,138000000.0,0.0,706000000.0,-252000000.0,0.0,-252000000.0,-0.61,-0.61,409535133.0,,0.18,0.3796,0.015,-0.0015,-0.075,0.207,50000000.0,-5000000.0,-252000000.0,12921000000.0,0.0127,7758000000.0,5163000000.0,0.0,2109000000.0,2611000000.0,2552000000.0,420000000.0,1096000000.0,560000000.0,0.0,1028000000.0,536000000.0,0.0,536000000.0,1.2,1.18,409535133.0,0.69,0.3996,0.135,0.1173,0.041,0.0919,1739000000.0,1516000000.0,536000000.0,7.045,37.853,1.69,21.8614,0.398,3.1033,0.3889,-0.0459,1.641,-2.8532,-0.295,0.3266,0.146,0.0,2196000000.0,15502000000.0,-14517000000.0,20868000000.0,3578000000.0,177000000.0,3296000000.0,-0.0376,0.012,175.8,-0.0081,-0.4909,0.124,0.023,0.0818,0.117,7.0,0.548,2.5672,4.4633,98.2486,105.8475,3.6112,73.0,3.9202,0.575,25.0,0.1632,0.0,19106250000.0,4327500000.0,23561500000.0,2.898,31.55,3.6095,0.1569,-0.1374,0.0128,-0.0146,-0.8475,CBS,69.360001,66.96277833333333,28405357234.41513
2016-12-31,1.0444,-0.7874,-1.433,-1.375,-1.375,-0.5084,0.0199,-0.2723,0.1097,-0.0181,0.198,0.2,-0.5824,0.0,2.4503,-0.195,-0.0887,3518000000.0,0.3054,2138000000.0,1380000000.0,0.0,590000000.0,901000000.0,479000000.0,107000000.0,-9000000.0,104000000.0,0.0,384000000.0,-113000000.0,0.0,-113000000.0,-0.21,-0.21,429702804.0,,0.18,0.3923,0.044,0.0279,-0.032,0.0836,155000000.0,98000000.0,-113000000.0,13166000000.0,0.0391,7956000000.0,5210000000.0,0.0,2124000000.0,2601000000.0,2609000000.0,411000000.0,1889000000.0,628000000.0,0.0,291000000.0,1261000000.0,0.0,1261000000.0,2.84,2.81,429702804.0,0.66,0.3957,0.192,0.1747,0.096,0.1131,2525000000.0,2300000000.0,1261000000.0,8.585,38.959,0.684,21.8174,1.3917,2.5413,0.3868,0.9159,1.635,-3.354,-0.857,0.3093,0.1677,0.0,2355000000.0,16741000000.0,-14486000000.0,21810000000.0,3344500000.0,153500000.0,3546500000.0,-0.2243,0.0119,56.6258,-0.0242,-1.4912,0.253,0.053,0.0799,0.175,7.0,0.556,1.3362,4.103,91.8738,107.1768,3.9366,85.772,3.7124,0.232,16.0,0.1613,0.0,17867500000.0,4977000000.0,23681250000.0,3.465,30.64,5.5961,0.3507,-0.1163,0.0125,-0.0149,-0.8711,CBS,63.619999,62.052058823529414,27337691960.777195
2016-09-30,-0.0841,-0.0162,0.1221,0.2135,0.2159,1.2292,-0.0161,-0.0133,0.018,-0.0144,0.1102,0.2,1.0436,0.0,-0.1273,-0.0374,-0.078,3084000000.0,-0.0531,1788000000.0,1296000000.0,0.0,521000000.0,575000000.0,721000000.0,104000000.0,623000000.0,145000000.0,0.0,-12000000.0,478000000.0,0.0,478000000.0,1.08,1.07,444601753.0,,0.18,0.4202,0.253,0.2357,0.155,0.0042,781000000.0,727000000.0,478000000.0,12343000000.0,-0.0022,7838000000.0,4505000000.0,0.0,1705000000.0,1780000000.0,2725000000.0,407000000.0,2256000000.0,621000000.0,0.0,48000000.0,1635000000.0,0.0,1635000000.0,3.61,3.58,444601753.0,0.63,0.365,0.232,0.2157,0.132,0.1539,2867000000.0,2663000000.0,1635000000.0,12.029,26.581,0.029,20.1461,0.4026,1.6748,0.3756,6.9904,1.761,0.1151,0.167,0.5044,0.1689,0.0,2359000000.0,11818000000.0,-13043000000.0,17498000000.0,3372500000.0,161000000.0,3512500000.0,-0.7636,0.0136,11.2394,-0.0136,-0.7778,0.3,0.069,0.0826,0.216,7.0,0.524,1.2703,4.5244,99.0051,109.296,3.6599,76.6646,3.514,0.175,12.0,0.1381,0.0,17642000000.0,5445500000.0,23563000000.0,4.271,27.762,6.543,0.4414,-0.0857,0.0123,-0.0144,-0.8725,CBS,54.740002000000004,52.01222219444444,24337500848.423508
2016-06-30,-0.0716,0.1777,0.2741,0.3824,0.3881,-0.5,-0.0221,-0.0184,0.0381,0.0381,0.1121,0.0,-0.5492,0.0,-0.157,0.0966,-0.0795,2976000000.0,-0.0755,1758000000.0,1218000000.0,0.0,510000000.0,571000000.0,647000000.0,100000000.0,596000000.0,173000000.0,0.0,-50000000.0,423000000.0,0.0,423000000.0,0.94,0.93,453040120.0,,0.15,0.4093,0.253,0.2339,0.142,0.0632,753000000.0,696000000.0,423000000.0,12516000000.0,0.0029,7892000000.0,4624000000.0,0.0,1781000000.0,1871000000.0,2753000000.0,405000000.0,2270000000.0,687000000.0,0.0,60000000.0,1583000000.0,0.0,1583000000.0,3.42,3.39,453040120.0,0.6,0.3694,0.231,0.2137,0.126,0.1269,2890000000.0,2675000000.0,1583000000.0,11.893,24.508,0.415,18.5613,0.3885,1.5607,0.3634,6.96,1.651,0.5272,0.16,0.5201,0.1714,0.0,2009000000.0,11103000000.0,-12654000000.0,16249000000.0,3183500000.0,159500000.0,3127000000.0,-0.157,0.0141,10.9336,-0.0118,-0.614,0.284,0.067,0.0858,0.214,6.0,0.529,1.1257,3.5287,94.5745,96.0327,3.9315,78.4702,4.0026,0.175,12.0,0.1423,0.0,17470750000.0,5578250000.0,23660750000.0,3.505,27.627,6.6049,0.4704,-0.1089,0.0119,-0.0155,-0.9023,CBS,54.439999,53.51888858333333,24663503679.75988
2016-03-31,-0.0309,0.129,0.2005,0.3038,0.3077,1.4652,-0.012,-0.0725,0.0694,0.1162,0.0867,0.0,1.485,0.0,-0.1446,0.0917,-0.0759,3588000000.0,0.0251,2272000000.0,1316000000.0,0.0,503000000.0,554000000.0,762000000.0,100000000.0,679000000.0,206000000.0,0.0,-31000000.0,473000000.0,0.0,473000000.0,1.03,1.02,459540920.0,,0.15,0.3668,0.233,0.2171,0.132,0.277,836000000.0,779000000.0,473000000.0,12759000000.0,0.0249,8041000000.0,4718000000.0,0.0,1876000000.0,2022000000.0,2696000000.0,399000000.0,2171000000.0,679000000.0,0.0,110000000.0,1492000000.0,0.0,1492000000.0,3.16,3.13,459540920.0,0.6,0.3698,0.219,0.2014,0.117,0.1424,2794000000.0,2570000000.0,1492000000.0,11.931,24.936,2.163,17.9505,0.8944,1.5045,0.351,7.79,1.635,2.1734,0.146,0.5124,0.1402,0.0,2150000000.0,11459000000.0,-12484000000.0,15913000000.0,3486500000.0,185500000.0,2731500000.0,-0.0331,0.0109,9.3756,-0.0095,-0.5965,0.261,0.063,0.0854,0.201,5.0,0.536,1.3438,5.607,105.2175,81.3876,3.6595,68.7817,4.6711,0.19,13.0,0.147,0.0,17237250000.0,5722000000.0,23791750000.0,3.954,27.765,6.4411,0.4231,-0.0938,0.0118,-0.0147,-0.8393,CBS,55.09,50.429142885714285,25316109282.800003
2015-12-31,0.2054,-0.2291,-0.368,-0.3412,-0.3253,-0.2188,-0.0071,-0.1227,0.1879,-0.0243,0.1782,0.0,-0.2356,0.0,-0.0393,0.5617,-0.0902,2695000000.0,0.1257,2020000000.0,675000000.0,0.0,171000000.0,80000000.0,595000000.0,103000000.0,358000000.0,97000000.0,0.0,141000000.0,261000000.0,0.0,261000000.0,0.56,0.56,471529669.0,,0.15,0.2505,0.184,0.1711,0.097,0.2612,497000000.0,461000000.0,261000000.0,12671000000.0,0.0121,7911000000.0,4760000000.0,0.0,1961000000.0,2128000000.0,2632000000.0,392000000.0,2089000000.0,676000000.0,0.0,141000000.0,1413000000.0,0.0,1413000000.0,2.92,2.89,471529669.0,0.6,0.3757,0.214,0.1958,0.112,0.0965,2716000000.0,2481000000.0,1413000000.0,11.798,34.647,1.493,17.9162,0.6723,1.5186,0.3555,4.4757,1.614,2.954,0.268,0.3126,0.0635,0.0,2187000000.0,16337000000.0,-12455000000.0,20908000000.0,3417000000.0,230500000.0,2983000000.0,-0.0869,0.0108,16.3602,-0.0249,-1.8611,0.237,0.059,0.0818,0.196,5.0,0.531,0.9866,4.5801,97.22,92.9568,3.7082,54.9718,4.2477,0.205,12.0,0.1548,0.0,17111750000.0,5950500000.0,23863000000.0,2.594,26.872,6.3291,0.4108,-0.1227,0.0124,-0.0135,-0.7277,CBS,47.130001,48.948285857142864,22223193771.49967
